"","cluster","ref1","ref2","ref3","manual_anno","cl_numb","broader","numbered","numbered_mk","topmk","broader_col","clcol"
"10","1","1_Neuro.Neuro","1","1_IMMAn/NEUROB","1_Neuro",1,"Neuro","1_Neuro","1_Neuro_ano2b.kcnab2b","ano2b/cpne4b/gdpd5b/syt6b/dgkzb/kcnab2b/ca4a/si:ch1073-90m23.1/si:ch211-154e10.1/gng8","#ff8f00","#FFABFD"
"19","2","2_Endot.Epend","2_Pyram","2_GABAn","2_Neuro",2,"Neuro","2_Neuro","2_Neuro_nxph1.kcnt1.esr2b","nxph1/kcnt1/esr2b/cdh18a/whrnb/drd3/INSYN2A.1/slf1/scn5lab/pth2rb","#ff8f00","#C5267C"
"5","3","3_Neuro.Neuro","3","3_GABAn","3_kiss1",3,"NeuroEndo","3_kiss1","3_NeuroEndo_kiss1.prkcq.oncecut1","prkcq/lef1/si:dkey-117i10.1/UNC13B/ppp1r14ab/kiss1/gpr146/KCNK12/gpc5c/ttll10","#228B22","#CBBC49"
"4","4","4_Neuro.Neuro","4","4_UnD","4_Neuro",4,"Neuro","4_Neuro","4_Neuro_ebf3a.1.gabra4.phf24","ebf3a.1/kcnj19a/grm2a/gabra4/sntb1/stxbp1b/zmat4b/camkvl/abtb2b/meis1b","#ff8f00","#FF79D8"
"44","5","5_Neuro.Neuro","5","5_UnD","5_Neuro",5,"Neuro","5_Neuro","5_Neuro_ar.esr1.eomesb","ar/esr1/prlhr2a/eomesb/prkcda/grm6a/rxfp2b/nptx1l/drd4-rs/cobl","#ff8f00","#FF4CAA"
"22","7","7_Neuro.Neuro","7_GABAe","7_GABAn","7_Neuro",7,"Neuro","7_Neuro","7_Neuro_erfl1.npr2","erfl1/pou6f2/npr2/vax2/rxraa/vax1/gfra1a/cpne5a/pou2f2a.1/LO018196.1","#ff8f00","#FFBBB4"
"15","8","8_Neuro.Neuro","8_Inter","8_IMMAn/NEUROB","8_NeuGlia",8,"Glial","8_NeuGlia","8_NeuGlial_nfixb.nfia.nfixa","nfixb/nfia/zfpm2a/nfixa/CABZ01086127.1/znf536/TCF4/ntng2a/BX569787.1/CU929544.1","#1F78B4","#006465"
"26","9","9_Neuro.Neuro","9","9_GABAn","9_kiss1",9,"NeuroEndo","9_kiss1","9_NeuroEndo_kiss1.adgra2","prkcq/si:dkey-117i10.1/ppp1r14ab/tbc1d1/kiss1/ttll10/wnt11/adgra2/LO018627.1/grid2ipa","#228B22","#483E00"
"2","10","10_Neuro.Neuro","10_GABAe.Inter","10_GABAn","10_Neuro",10,"Neuro","10_Neuro","10_Neuro_satb2.hspg2","satb2/hspg2/LO018196.1/mpped1/kcnh1a/gabra3/si:ch73-215f7.1/CU929240.1/gulp1a/oprd1a","#ff8f00","#BA423B"
"20","11","11_Neuro","11_GABAe.Inter","11_GABAn","11_Neuro",11,"Neuro","11_Neuro","11_Neuro_vax2.adarb1a","vax2/vax1/TMEM132C.1/gfra4a/BX571707.1/adarb1a/LO018196.1/shisa9b/ntng1a/robo2.1","#ff8f00","#FF9088"
