Motif	Factor	Evidence	Curated
GM.5.0.Sox.0001	sox7	Orthologs	N
GM.5.0.Sox.0001	sox7	Orthologs	N
GM.5.0.Sox.0001	sox10	Orthologs	N
GM.5.0.Sox.0001	sox9a	Orthologs	N
GM.5.0.Sox.0001	sox10	Orthologs	N
GM.5.0.Sox.0001	sox9a	Orthologs	N
GM.5.0.Sox.0001	sox17	Orthologs	N
GM.5.0.Sox.0001	sox18	Orthologs	N
GM.5.0.Sox.0001	sox17	Orthologs	N
GM.5.0.Sox.0001	sox18	Orthologs	N
GM.5.0.Sox.0001	LOC103910042	Orthologs	N
GM.5.0.Sox.0001	LOC103910042	Orthologs	N
GM.5.0.Sox.0001	sox12	Orthologs	N
GM.5.0.Sox.0001	sox12	Orthologs	N
GM.5.0.Homeodomain.0001	tgif1	Orthologs	N
GM.5.0.Homeodomain.0001	LOC100535338	Orthologs	N
GM.5.0.Homeodomain.0001	tgif1	Orthologs	N
GM.5.0.Homeodomain.0001	LOC100535338	Orthologs	N
GM.5.0.Mixed.0001	srfb	Orthologs	N
GM.5.0.Mixed.0001	srfa	Orthologs	N
GM.5.0.Mixed.0001	srfb	Orthologs	N
GM.5.0.Mixed.0001	srfa	Orthologs	N
GM.5.0.Mixed.0001	egr1	Orthologs	N
GM.5.0.Mixed.0001	egr1	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d2a	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d2b	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d1	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d4b	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d4a	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d2a	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d2b	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d1	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d4b	Orthologs	N
GM.5.0.Nuclear_receptor.0001	nr1d4a	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorc	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorb	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorab	Orthologs	N
GM.5.0.Nuclear_receptor.0001	roraa	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorca	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorcb	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorc	Orthologs	N
GM.5.0.Nuclear_receptor.0001	rorb	Orthologs	N
